City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)","Rape
(legacy
definition)",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Abington,16121,48,0,5,,7,36,297,82,201,14,1
Acton,22871,8,0,1,,2,5,178,31,144,3,0
Acushnet,10362,19,0,2,,0,17,74,27,40,7,2
Adams,8352,21,0,3,,3,15,157,40,109,8,1
Agawam,28659,41,0,12,,3,26,270,105,130,35,1
Amesbury,16655,42,0,3,,2,37,239,40,191,8,2
Amherst,39127,70,0,23,,3,44,367,76,274,17,5
Andover,34529,20,0,3,,1,16,314,39,255,20,0
Arlington,44098,55,3,7,,10,35,516,126,365,25,3
Ashburnham,6166,5,0,2,,1,2,65,20,44,1,0
Ashby,3169,7,0,1,,1,5,43,23,18,2,0
Ashland,17162,18,0,2,,0,16,206,91,109,6,0
Athol,11668,53,0,7,,3,43,154,55,97,2,4
Attleboro,44034,108,0,16,,16,76,942,171,702,69,2
Auburn,16361,47,0,4,,7,36,530,77,437,16,1
Avon,4406,10,0,,0,4,6,252,29,220,3,
Ayer,7788,12,0,1,,1,10,137,51,84,2,0
Barnstable,44837,302,0,18,,30,254,1191,289,835,67,8
Barre,5453,26,0,6,,0,20,53,23,27,3,1
Becket,1778,4,0,,0,0,4,27,20,7,0,
Bedford,13947,6,0,1,,3,2,74,11,62,1,0
Belchertown,14744,21,0,4,,1,16,167,41,121,5,0
Bellingham,16619,35,0,3,,8,24,291,55,225,11,3
Belmont,25421,24,0,4,,2,18,241,56,172,13,3
Berkley,6543,9,0,0,,1,8,45,21,23,1,0
Berlin,2921,0,0,0,,0,0,14,0,14,0,0
Bernardston,2136,4,0,0,,1,3,15,2,11,2,0
Beverly,40592,88,0,7,,9,72,574,77,469,28,1
Billerica,41926,48,0,7,,8,33,468,88,352,28,5
Blackstone,9094,17,0,3,,2,12,84,20,60,4,0
Bolton,5060,9,0,0,,2,7,44,18,25,1,0
Boston,643799,5037,39,,279,1868,2851,17853,3096,13147,1610,
Bourne,19875,91,0,14,,8,69,465,215,235,15,4
Boxborough,5151,8,0,0,,1,7,24,4,17,3,0
Boxford,8145,4,0,0,,1,3,34,9,23,2,0
Braintree,36496,83,0,5,,18,60,771,97,648,26,1
Brewster,9825,7,0,0,,0,7,132,50,78,4,1
Brimfield,3675,1,0,0,,0,1,21,9,12,0,0
Brockton,94448,1162,9,87,,228,838,3189,865,2100,224,20
Brookline,59382,85,0,6,,16,63,676,107,549,20,1
Burlington,25435,33,0,3,,6,24,501,32,453,16,0
Cambridge,107282,361,2,24,,114,221,2907,401,2402,104,10
Canton,22100,59,0,3,,7,49,188,43,140,5,1
Carver,11552,35,0,6,,1,28,185,56,123,6,2
Charlton,13195,22,0,4,,2,16,113,33,77,3,1
Chatham,6162,11,0,0,,0,11,123,20,101,2,1
Chelmsford,34862,22,0,1,,4,17,488,49,422,17,0
Chelsea,37454,458,5,28,,175,250,1234,209,874,151,4
Chicopee,55566,272,1,22,,81,168,1563,459,995,109,4
Chilmark,911,1,0,0,,0,1,8,1,7,0,0
Clinton,13721,10,0,0,,2,8,40,9,31,0,0
Cohasset,8450,9,0,0,,0,9,69,20,46,3,0
Concord,19437,17,0,1,,1,15,184,20,162,2,0
Dalton,6725,5,0,2,,0,3,69,20,48,1,2
Danvers,27263,51,1,3,,6,41,761,54,684,23,0
Dartmouth,34562,49,0,5,,9,35,914,157,732,25,1
Dedham,25094,15,0,3,,7,5,518,47,446,25,0
Deerfield,5120,7,0,0,,2,5,86,16,67,3,0
Dennis,14173,80,0,13,,8,59,505,211,276,18,3
Dighton,7194,10,0,,1,2,7,30,14,16,0,
Douglas,8628,10,0,1,,0,9,58,33,21,4,0
Dover,5778,2,0,0,,0,2,36,5,31,0,0
Dracut,30533,20,0,4,,8,8,494,75,392,27,0
Dudley,11619,34,0,3,,0,31,90,39,48,3,0
Dunstable,3350,7,0,1,,1,5,22,6,15,1,0
Duxbury,15244,2,0,0,,0,2,59,16,43,0,0
East Bridgewater,14044,31,0,0,,2,29,200,33,158,9,0
East Brookfield,2192,5,0,0,,0,5,16,3,11,2,0
Eastham,4956,11,0,0,,0,11,100,16,82,2,1
Easthampton,15997,19,0,3,,2,14,159,35,118,6,2
East Longmeadow,15946,28,0,3,,0,25,297,58,227,12,1
Easton,23420,33,0,5,,6,22,246,67,160,19,0
Edgartown,4252,8,0,0,,0,8,129,32,89,8,0
Egremont,1225,1,0,,0,0,1,23,2,21,0,
Erving,1803,6,0,1,,0,5,22,6,15,1,2
Essex,3618,0,0,,0,0,0,29,7,19,3,
Everett,42966,202,1,19,,61,121,898,186,621,91,0
Fairhaven,15951,64,1,7,,5,51,364,66,285,13,0
Fall River,89220,944,0,73,,225,646,2364,698,1443,223,32
Falmouth,31592,102,2,11,,18,71,899,467,392,40,2
Fitchburg,40521,307,2,33,,35,237,1060,275,705,80,7
Framingham,70753,172,0,4,,23,145,1025,217,735,73,3
Franklin,32633,7,0,0,,6,1,171,31,138,2,0
Freetown,8996,21,0,3,,2,16,137,54,74,9,2
Gardner,20341,93,0,13,,10,70,571,190,366,15,2
Georgetown,8457,3,0,1,,0,2,64,17,46,1,0
Gill,1503,1,0,0,,0,1,12,5,7,0,0
Gloucester,29383,22,0,9,,0,13,383,33,345,5,0
Goshen,1057,0,0,0,,0,0,2,1,1,0,0
Grafton,18182,22,0,2,,4,16,121,40,76,5,0
Granby,6297,9,0,0,,0,9,75,13,58,4,0
Granville,1616,2,0,,0,0,2,8,4,4,0,
Great Barrington,6972,30,0,8,,1,21,124,27,88,9,1
Groton,11164,8,0,2,,0,6,86,35,51,0,0
Groveland,6917,1,0,0,,1,0,17,6,11,0,0
Halifax,7574,8,0,2,,0,6,77,32,41,4,0
Hamilton,8122,3,0,0,,0,3,50,8,41,1,0
Hampden,5161,3,0,0,,1,2,55,18,33,4,0
Hanover,14275,2,0,2,,0,0,211,34,171,6,0
Hanson,10342,19,0,3,,1,15,86,23,57,6,0
Hardwick,3005,5,0,1,,0,4,31,8,20,3,0
Harvard,6548,4,0,2,,0,2,37,23,14,0,3
Harwich,12299,24,0,2,,1,21,251,120,124,7,0
Hatfield,3275,5,0,1,,2,2,10,4,6,0,0
Haverhill,62249,414,2,25,,57,330,1618,431,1052,135,5
Hingham,22687,17,0,2,,2,13,382,84,287,11,0
Holbrook,10959,39,0,,0,11,28,183,74,100,9,
Holden,17775,8,0,1,,1,6,96,21,71,4,0
Holliston,14199,14,0,0,,0,14,75,25,44,6,1
Holyoke,40215,419,4,42,,108,265,2664,484,2067,113,9
Hopedale,5952,18,0,2,,0,16,57,23,32,2,1
Hopkinton,15689,3,0,1,,0,2,93,6,86,1,1
Hubbardston,4448,6,0,0,,0,6,44,20,21,3,0
Hudson,19659,16,0,2,,1,13,209,33,169,7,0
Hull,10331,42,1,5,,0,36,141,42,95,4,2
Ipswich,13699,10,0,0,,0,10,122,20,96,6,1
Kingston,12791,20,0,3,,3,14,191,28,152,11,0
Lakeville,10939,10,1,2,,1,6,183,62,115,6,0
Lancaster,7943,8,0,3,,1,4,80,30,48,2,1
Lawrence,77812,776,1,,19,283,473,2273,433,1012,828,
Lee,5883,7,0,3,,0,4,98,23,72,3,0
Leicester,11183,13,0,1,,0,12,250,17,223,10,1
Lenox,4993,4,0,1,,0,3,120,35,83,2,1
Leominster,41175,263,1,25,,34,203,1235,244,939,52,5
Lexington,32632,17,0,0,,3,14,232,45,185,2,2
Lincoln,6563,6,1,1,,1,3,37,8,29,0,1
Littleton,9219,9,0,4,,0,5,92,15,75,2,1
Longmeadow,15844,14,0,2,,3,9,156,27,121,8,1
Lowell,109449,625,4,40,,192,389,3379,759,2300,320,18
Ludlow,21214,32,0,7,,8,17,320,78,232,10,0
Lunenburg,11149,22,0,5,,1,16,210,62,145,3,0
Lynn,91769,814,2,39,,189,584,2398,510,1635,253,7
Lynnfield,11900,2,0,0,,1,1,133,14,111,8,0
Malden,60816,205,1,3,,79,122,945,240,618,87,3
Manchester-by-the-Sea,5255,9,0,1,,0,8,28,5,23,0,0
Mansfield,23552,47,0,8,,3,36,352,144,196,12,2
Marblehead,20209,17,0,1,,0,16,159,21,134,4,0
Marion,4923,7,0,1,,1,5,69,9,60,0,0
Marlborough,39531,156,0,18,,17,121,756,119,605,32,2
Marshfield,25581,54,0,5,,3,46,229,29,186,14,2
Mashpee,14041,45,0,4,,3,38,284,61,214,9,2
Mattapoisett,6149,6,0,1,,1,4,66,16,45,5,0
Maynard,10393,13,0,0,,0,13,99,14,79,6,0
Medfield,12309,12,0,2,,0,10,58,16,42,0,0
Medford,57428,112,0,10,,29,73,898,160,672,66,2
Medway,12929,1,0,0,,0,1,111,20,89,2,0
Melrose,27648,21,0,3,,4,14,262,69,181,12,0
Mendon,5902,5,0,0,,0,5,57,17,39,1,0
Merrimac,6590,11,0,0,,1,10,56,24,29,3,0
Methuen,48363,106,0,4,,30,72,1127,177,830,120,1
Middleboro,23547,70,1,6,,7,56,443,126,300,17,1
Middleton,9394,11,0,0,,0,11,75,4,70,1,0
Milford,28312,58,0,13,,7,38,522,56,449,17,1
Millbury,13355,38,0,7,,5,26,275,58,206,11,4
Millville,3209,2,0,1,,1,0,32,5,27,0,0
Milton,27269,21,1,1,,9,10,391,95,285,11,0
Monson,8716,27,0,3,,0,24,101,35,53,13,1
Montague,8418,45,0,4,,3,38,222,72,147,3,2
Monterey,953,0,0,0,,0,0,4,1,2,1,0
Nahant,3461,8,0,1,,0,7,18,4,13,1,0
Nantucket,10378,41,0,8,,3,30,330,29,286,15,0
Natick,34085,36,1,2,,3,30,544,62,468,14,2
New Bedford,95156,1039,6,100,,256,677,3437,916,2186,335,20
Newburyport,17773,31,0,3,,3,25,177,15,154,8,0
Newton,86867,74,0,11,,18,45,807,205,584,18,4
Norfolk,11663,0,0,0,,0,0,41,13,28,0,0
North Adams,13516,133,1,21,,8,103,585,175,395,15,1
Northampton,28581,130,0,29,,14,87,800,126,647,27,4
North Andover,28667,10,0,0,,0,10,479,26,440,13,0
North Attleboro,28913,2,0,0,,2,0,406,31,366,9,0
Northborough,14878,18,0,1,,4,13,182,38,140,4,0
Northbridge,16026,38,0,15,,1,22,308,93,210,5,2
North Brookfield,4695,34,0,3,,0,31,29,12,15,2,0
North Reading,15406,12,0,0,,3,9,134,17,112,5,0
Norton,19414,8,0,0,,2,6,90,36,53,1,0
Norwell,10622,12,0,1,,0,11,122,28,89,5,0
Norwood,28906,18,0,1,,9,8,386,85,281,20,2
Oak Bluffs,4679,18,0,0,,0,18,137,26,107,4,0
Orange,7818,25,0,5,,3,17,166,52,110,4,4
Orleans,5892,9,0,1,,1,7,148,24,123,1,1
Oxford,13828,27,0,1,,4,22,212,42,160,10,1
Palmer,12155,38,0,8,,5,25,210,88,111,11,0
Paxton,4884,4,0,2,,0,2,25,10,14,1,0
Peabody,52178,115,0,14,,24,77,1061,121,877,63,2
Pelham,1321,0,0,0,,0,0,5,4,1,0,0
Pembroke,18040,33,0,2,,3,28,159,38,114,7,0
Pepperell,11920,22,0,1,,1,20,126,32,89,5,1
Pittsfield,43992,111,0,31,,29,51,1352,481,827,44,3
Plainville,8512,2,0,0,,1,1,136,31,101,4,0
Plymouth,57893,184,0,9,,18,157,806,236,540,30,1
Plympton,2852,7,0,1,,1,5,42,17,24,1,0
Princeton,3452,7,0,1,,0,6,32,14,17,1,0
Provincetown,2983,17,0,1,,0,16,105,17,85,3,1
Quincy,93490,361,0,35,,87,239,1647,461,1113,73,4
Randolph,33583,176,0,16,,31,129,536,126,374,36,2
Raynham,13580,26,0,2,,9,15,395,68,310,17,1
Reading,25398,10,0,0,,3,7,184,51,122,11,0
Rehoboth,11809,13,0,1,,1,11,143,51,83,9,0
Revere,53777,317,0,19,,82,216,1161,182,813,166,8
Rochester,5367,3,0,1,,0,2,50,18,28,4,0
Rockport,7116,6,0,1,,1,4,8,5,3,0,0
Rowley,6015,6,0,1,,1,4,24,7,14,3,0
Rutland,8272,25,1,3,,1,20,52,11,37,4,0
Salem,42468,128,0,3,,22,103,1238,135,1058,45,8
Salisbury,8490,45,1,7,,5,32,178,57,113,8,0
Sandwich,20713,31,0,8,,1,22,259,70,181,8,1
Saugus,27628,80,0,10,,15,55,648,84,527,37,2
Scituate,18230,24,0,3,,3,18,135,26,105,4,0
Seekonk,14102,33,1,0,,4,28,351,50,280,21,0
Sharon,17935,1,0,0,,0,1,76,26,46,4,0
Sherborn,4236,3,0,1,,1,1,39,13,23,3,2
Shirley,7649,11,0,0,,0,11,44,20,23,1,0
Shrewsbury,36315,6,0,0,,2,4,269,54,204,11,0
Somerset,18340,28,0,3,,2,23,263,45,208,10,0
Somerville,77768,191,0,18,,51,122,1525,426,998,101,21
Southampton,5976,4,0,2,,1,1,46,9,36,1,0
Southborough,9908,2,0,1,,0,1,58,31,24,3,0
Southbridge,16870,82,0,11,,14,57,407,149,236,22,10
South Hadley,17794,38,0,4,,4,30,276,97,167,12,1
Southwick,9597,8,0,0,,1,7,122,41,70,11,2
Spencer,11801,29,0,4,,1,24,161,34,116,11,0
Springfield,153586,1673,22,89,,598,964,7113,2360,4018,735,56
Sterling,7895,12,0,3,,1,8,72,21,48,3,0
Stockbridge,1966,4,0,0,,0,4,35,15,20,0,0
Stoneham,21763,11,0,0,,2,9,217,52,154,11,1
Stoughton,28186,80,1,9,,15,55,532,74,422,36,0
Stow,6949,4,0,0,,1,3,24,7,17,0,0
Sturbridge,9399,30,0,7,,5,18,175,25,146,4,2
Sudbury,18312,0,0,0,,0,0,94,12,80,2,0
Sutton,9137,4,0,1,,0,3,106,46,55,5,0
Swampscott,13995,26,0,1,,5,20,266,58,204,4,0
Swansea,16099,34,1,5,,7,21,350,54,279,17,2
Taunton,56264,209,0,15,,52,142,962,433,485,44,5
Templeton,8083,22,0,2,,2,18,81,21,57,3,0
Tewksbury,29953,141,0,14,,9,118,502,68,398,36,2
Townsend,9213,7,0,2,,2,3,117,60,57,0,0
Truro,2016,5,0,0,,0,5,35,12,23,0,0
Tyngsboro,12183,16,0,0,,2,14,129,26,97,6,1
Upton,7690,7,0,1,,1,5,60,22,35,3,0
Uxbridge,13629,21,0,3,,2,16,176,52,115,9,2
Wakefield,25838,49,0,11,,1,37,313,66,233,14,0
Wales,1872,1,0,0,,0,1,10,4,4,2,0
Walpole,24771,11,0,1,,3,7,321,36,279,6,0
Waltham,62446,141,1,22,,28,90,952,212,694,46,6
Ware,9856,42,0,2,,3,37,238,36,198,4,5
Wareham,22567,163,0,20,,21,122,806,222,554,30,12
Warren,5158,33,0,2,,1,30,60,17,39,4,0
Watertown,33254,53,0,6,,5,42,461,61,388,12,0
Wayland,13411,5,0,0,,0,5,42,16,24,2,0
Webster,16871,122,0,9,,21,92,426,85,319,22,8
Wellesley,29053,15,0,0,,1,14,202,54,142,6,0
Wellfleet,2747,4,0,0,,0,4,38,13,24,1,2
Westborough,18563,14,0,3,,3,8,149,15,131,3,0
West Boylston,7821,5,0,4,,0,1,109,23,83,3,0
West Bridgewater,6966,23,0,1,,4,18,142,23,111,8,2
Westfield,41493,103,1,20,,25,57,661,174,464,23,3
Westford,23196,14,0,3,,1,10,121,26,93,2,3
Westhampton,1602,0,0,,0,0,0,5,3,2,0,
Westminster,7377,9,0,0,,0,9,189,17,169,3,0
West Newbury,4419,6,0,1,,0,5,24,6,18,0,0
Weston,11893,3,0,0,,0,3,65,14,49,2,0
Westport,15735,27,0,3,,2,22,198,64,124,10,1
West Springfield,28647,163,0,22,,40,101,1321,250,985,86,6
West Tisbury,2856,1,0,0,,0,1,26,8,16,2,0
Westwood,14850,20,0,4,,4,12,111,17,87,7,0
Weymouth,55432,195,1,23,,27,144,784,145,604,35,4
Whately,1510,6,0,0,,0,6,17,3,11,3,0
Whitman,14682,53,0,8,,3,42,217,43,164,10,1
Wilbraham,14375,17,0,4,,1,12,235,52,170,13,1
Williamsburg,2474,4,0,0,,0,4,36,12,22,2,0
Williamstown,7682,14,0,3,,1,10,216,43,173,0,0
Wilmington,23187,29,0,5,,6,18,253,65,180,8,2
Winchendon,10551,50,0,4,,2,44,217,19,189,9,5
Winchester,22082,10,0,0,,2,8,194,25,167,2,0
Winthrop,18131,58,0,2,,4,52,211,82,117,12,2
Woburn,39284,83,0,12,,15,56,581,91,469,21,1
Worcester,183454,1750,9,22,,483,1236,6239,1916,3924,399,7
Wrentham,11195,8,0,1,,0,7,262,48,206,8,0
Yarmouth,23736,202,0,17,,8,177,668,200,446,22,2
